NBLC HIGHLIGHT,NBLC MEMBER PHOTO,NBLC Member,FILE NAME,Location,FZ Name,Zone Code,Zone Name,Market Code,Market,Market Manager ,Field Consultant Name,Store Manager,Store Type,Address ,City,State or Province,Postal Code,Country ,Open Status Code,Open Date,Close Date,Vicinity,Phone Number,CDC Code,CDC Name,Wholesale Center,DMA Code,DMA Name,Wholesale Center,Alcohol Flag,Liquor Flag,Gas Flag,Gas Brand,BCP,Store Name,Store Type,Region,FC Email
,,,,36577,"Castillo, Carol ",71699,Lone Star,1603,Greater Austin,Ricardo Clemente,Wendy L Moseley,Delores Wycoff,F,3625 BEE CAVE RD,Austin,TX,78746,US,O,12/31/2012,,Bee Cave Rd at Beaver Trl,(512)306-1147,CTX,Central Texas,SW,635,Austin Tx,SW,Y,N,Y,Texaco,N,7-Eleven Store,Suburban Commuter,WEST,"Moseley, Wendy"
,,,,10504,"Castillo, Mayra ",71599,Florida,1534,Miami/Dade Mkt,Mike Ketcherside,Charles G Moore,Mayra Castillo,F,10721 SW 56TH ST,Miami,FL,33165,US,O,12/01/1974,,Sw 56 St Nr 107 Ct,(305)271-4507,SFL,So. Florida,ME,528,Miami-Ft. Lauderdale,ME,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Moore, Charles"
,,,,14221,"Cates, Thu ",72399,North Pacific,2367,South Bay,Joni Padron,Michael Mazza,Thu Cates,F,657 N. SANTA CRUZ AVE,Los Gatos,CA,95030,US,O,04/01/1976,,N Santa Cruz Nr Mariposa,(408)354-5733,BAY,Bay Area,MP,807,San Francisco Ca,MP,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,WEST,"Mazza, Michael"
,,,,26253,"Catron, Robert M",72599,Liberty,2546,Delmar Bay,Sandie Bower,Michael P Dempsey,Michael Catron,F,7901 WISE AVE,Baltimore,MD,21222,US,O,07/15/1985,,Sec Wise Ave & Lynch Rd,(410)282-4533,NMD,No. Maryland,MZ,512,Baltimore Md,MZ,N,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Dempsey, Michael"
,,,,34809,"Catron, Sheila ",71599,Florida,1532,Palm Beach,Todd Krajewski,Corzell L White,Sheila Catron,F,11835 US HWY 1,Hobe Sound,FL,33455,US,O,04/21/2011,,Us Hwy 1 at Se Bridge Rd,(772)546-4504,SFL,So. Florida,ME,548,W. Palm Beach,ME,Y,N,Y,Mobil,N,7-Eleven Store,Suburban Commuter,EAST,"White, Corzell"
,,,,14220,"Cavallini, Ted M",72399,North Pacific,2367,South Bay,Joni Padron,Christophe L Schwalen,Nader Naderi,F,1444 S. WINCHESTER BLVD,San Jose,CA,95128,US,O,01/01/1976,,S Winchester at David,(408)374-2380,BAY,Bay Area,MP,807,San Francisco Ca,MP,Y,N,N,,N,7-Eleven Store,Dense Residential,WEST,"Schwalen, Christophe"
,,,,14302,"Cavallini, Ted M",72399,North Pacific,2367,South Bay,Joni Padron,Christophe L Schwalen,Boon Tan,F,4630 PEARL AVE,San Jose,CA,95136,US,O,07/01/1972,,Pearl Nr Branham,(408)265-6761,BAY,Bay Area,MP,807,San Francisco Ca,MP,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,WEST,"Schwalen, Christophe"
,,,,34363,"Cavallini, Ted M",72399,North Pacific,2367,South Bay,Joni Padron,Christophe L Schwalen,Store Mgr Unassigned,F,4156 MONTEREY HWY,San Jose,CA,95111,US,O,11/23/2010,,Monterey at Senter,(408)225-1263,BAY,Bay Area,MP,807,San Francisco Ca,MP,Y,N,N,,N,7-Eleven Store,Suburban Commuter,WEST,"Schwalen, Christophe"
,,,,37476,"Cavanaugh, Anne ",72799,Us Acquisitions,2709,Tedeschi 1,John Connell Jr.,Shawn Malenfant,Store Mgr Unassigned,F,12 MONPONSETT ST,Hanson,MA,02341,US,O,08/24/2015,,Monponsett St at Main St,(000)000-0000,NGD,New England,MY,506,Boston Ma-Nh,MY,N,N,N,,N,7-Eleven Store,Suburban Neighborhood,ACQ,"Malenfant, Shawn"
,,,,32415,"Cavazos, Daniel J",72399,North Pacific,2367,South Bay,Joni Padron,Stephen L Hayth,"Cavazos, Dan",F,140 BEACH RD,Marina,CA,93933,US,O,08/26/1998,,140 Beach Rd,(831)582-0542,BAY,Bay Area,MP,828,Salinas-Monterey,MP,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Neighborhood,WEST,"Hayth, Stephen"
,,,,35762,"Cetoute, Jean ",72499,North Atlantic,2425,Bronx/White Plains,Terry Winkler,Meghan L Culligan,Carolyn Willis,F,294 N MAIN ST,Spring Valley,NY,10977,US,O,06/12/2014,,N Main at E Eckerson Rd,(845)352-0256,LIQ,Long Island,NE,501,New York Ny,NE,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Culligan, Meghan"
,,,,34757,"Ceylan, Ali ",72499,North Atlantic,2421,New York Queens,Mandi Licul,Erik Merkle,Store Mgr Unassigned,F,1700 BROADWAY,Hewlett,NY,11557,US,O,01/07/2013,,Broadway at Rockaway Ave,(516)593-3268,LIQ,Long Island,NE,501,New York Ny,NE,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Merkle, Erik"
,,,,32530,"Chabot, Donald M",72499,North Atlantic,2466,Northern New England,Patrick Doran,Marc D Keith,Store Mgr Unassigned,F,169 STATE ROAD,Kittery,ME,03904,US,O,09/01/1998,,Route 1 Kittery Circle,(207)439-5767,NGD,New England,MY,500,Portland-Auburn Me,MY,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Neighborhood,EAST,"Keith, Marc"
,,,,34835,"Chacko, Jacob ",71599,Florida,1532,Palm Beach,Todd Krajewski,Merle W Pabst,"Jacob Chacko (gilgal, Inc",F,7031 JOG RD,Lake Worth,FL,33467,US,O,04/21/2011,,Jog Rd at Hypoluxo,(561)966-5580,SFL,So. Florida,ME,548,W. Palm Beach,ME,Y,N,Y,Mobil,N,7-Eleven Store,Suburban Commuter,EAST,"Pabst, Merle"
,,,,33353,"Chada, Arvinder S",71599,Florida,1501,South Orlando,Joseph Scrofani,Afortunado Valentin,"Chada Enterprise, Inc.",F,12655 INTERNATIONAL DR,Orlando,FL,32821,US,O,12/21/2007,,Nec International atvinela,(407)238-0593,LAK,Florida,ME,534,Orlando-Daytona,ME,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Commuter,EAST,"Valentin, Afortunado"
,,,,35785,"Chadalawada, Venkateswa ",71999,Heartland,1951,St Louis,Paul Coffman,Jeffrey T Osgood,Rao Chadalawada,F,16675 MIDLAND DR,Shawnee,KS,66217,US,O,05/24/2012,,Sf Midland Nr I-435,(913)962-9521,,,MO,616,Kansas City,MO,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,WEST,"Osgood, Jeffrey"
,,,,16539,"Chadha, Mittin ",72499,North Atlantic,2423,New York Suffolk,Rochelle Oppedisano-ganss,Xochitl Pena,*,F,450 PECONIC STREET,Ronkonkoma,NY,11779,US,O,08/01/1973,,Peconic St at First Av,(631)981-5853,LIQ,Long Island,NE,501,New York Ny,NE,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Pena, Xochitl"
,,,,24549,"Chadha, Ramandeep S",72199,Greater La,2176,La South Bay,Jeddy Reed,Mary Romero,*,F,1221 ARTESIA BLVD,Manhattan Beach,CA,90266,US,O,10/13/1983,,Prospect Ave at Artesia,(310)318-6205,LAX,Los Angeles,SZ,803,Los Angeles,SZ,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,WEST,"Romero, Mary"
,,,,34059,"Chadha, Ramandeep S",72199,Greater La,2136,Central Los Angeles,Kia Knox,Lori N Berg,Store Mgr Unassigned,F,6586 VAN NUYS BLVD,Van Nuys,CA,91401,US,O,12/21/2007,,Sec Van Nuys at Kittridge,(818)781-5786,LAX,Los Angeles,SZ,803,Los Angeles,SZ,Y,N,N,,N,7-Eleven Store,Dense Daytime,WEST,"Berg, Lori"
,,,,16777,"Chahal, Arwinder ",72199,Greater La,2368,Central Val/Coastal Mkt,Fred Wallace,David J Continente,*,F,701 SOUTH ELM,Arroyo Grande,CA,93420,US,O,01/01/1974,,Swc Elm St at Pike Rd,(805)489-7789,LAX,Los Angeles,SZ,855,Santa Barbara Ca,SZ,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,WEST,"Continente, David"
,,,,14172,"Chahal, Baljit S",72399,North Pacific,2365,Capital Valley,Greg Ruffoni,William M Scott,Store Mgr Unassigned,F,1497 DANVILLE HWY,Alamo,CA,94507,US,O,07/01/1976,,Danville Nr Orchard,(925)820-1347,BAY,Bay Area,MP,807,San Francisco Ca,MP,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,WEST,"Scott, William"
,,,,26316,"Chahal, Baljit S",72399,North Pacific,2365,Capital Valley,Greg Ruffoni,Lauren D Tenconi,Store Mgr Unassigned,F,2396 PLEASANT HILL RD,Pleasant Hill,CA,94523,US,O,07/15/1986,,Pleasant Hill at Gregory,(925)934-1550,BAY,Bay Area,MP,807,San Francisco Ca,MP,Y,N,N,,N,7-Eleven Store,Suburban Commuter,WEST,"Tenconi, Lauren"
,,,,23040,"Chahal, Harman S",72399,North Pacific,2364,North Valley,Lisa Carrasco,Heather E Bomann,Store Mgr Unassigned,F,2544 ARDEN WAY,Sacramento,CA,95825,US,O,02/09/1983,,Swc Arden Way & Fulton Av,(916)481-6181,BAY,Bay Area,SA,862,Sacramento Ca,SA,Y,N,N,,N,7-Eleven Store,Suburban Commuter,WEST,"Bomann, Heather"
,,,,34158,"Chahal, Harman S",72399,North Pacific,2364,North Valley,Lisa Carrasco,Joshua Wood,Harman & Jagroop Chahal,F,4449 CENTRAL PLACE,Fairfield,CA,94534,US,O,09/25/2009,,Central Place at Pittman,(707)864-6223,BAY,Bay Area,MP,862,Sacramento Ca,MP,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Neighborhood,WEST,"Wood, Joshua"
,,,,34575,"Chahal, Harman S",72399,North Pacific,2364,North Valley,Lisa Carrasco,Brandon W Espinoza,Store Mgr Unassigned,F,7598 GREENBACK,Citrus Heights,CA,95610,US,O,06/30/2012,,Greenback at Mariposa,(916)728-1158,BAY,Bay Area,SA,862,Sacramento Ca,SA,N,N,N,,N,7-Eleven Store,Suburban Commuter,WEST,"Espinoza, Brandon"
,,,,18328,"Chahal, Jagroop ",72399,North Pacific,2364,North Valley,Lisa Carrasco,Brandon W Espinoza,Store Mgr Unassigned,F,8500 MADISON AVE,Fair Oaks,CA,95628,US,O,10/31/1976,,Madision Ave,(916)961-8081,BAY,Bay Area,SA,862,Sacramento Ca,SA,Y,N,N,,N,7-Eleven Store,Suburban Commuter,WEST,"Espinoza, Brandon"
,,,,18594,"Chahal, Jatinderbi ",71999,Heartland,1610,West Denver,Ariel Carballo,Charles A Derrico,Jatinderbi Chahal,F,8002 CHASE DR,Arvada,CO,80003,US,O,06/01/1976,,Chase Dr at 80th Ave,(303)429-7715,COL,Colorado,MW,751,Denver-Ft. Collins,MW,Y,N,N,,N,7-Eleven Store,Suburban Commuter,WEST,"Derrico, Charles"
,,,,35536,"Chahal, Jatinderbi ",71999,Heartland,1610,West Denver,Ariel Carballo,John A Knestis Sr.,Jatinderbi Chahal,F,450 FEDERAL BLV,Denver,CO,80204,US,O,11/27/2012,,Federal Blv Nr 6th Ave,(303)534-1037,COL,Colorado,MW,751,Denver-Ft. Collins,MW,Y,N,N,,N,7-Eleven Store,Suburban Commuter,WEST,"Knestis Sr., John"
,,,,32824,"Chahal, Simarpreet ",72099,South West,1609,Sierra Desert,Raymond Kruckner,Bradley E Hanson,Simarpreet Chahal,F,9910 W INDIAN SCHOOL ROAD,Phoenix,AZ,85037,US,O,03/27/2000,,99th Ave,(623)877-8344,000,Unknown,MS,753,Phoenix,MS,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Commuter,WEST,"Hanson, Bradley"
,,,,14203,"Chahal, Sundeep S",72399,North Pacific,2369,East Bay,Kevin Schinmann,Andrea M Padilla,Sundeep Chahal,F,1880 FOURTH ST,Livermore,CA,94550,US,O,09/01/1968,,Fourth St at S M St,(925)455-0611,BAY,Bay Area,MP,807,San Francisco Ca,MP,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,WEST,"Padilla, Andrea"
,,,,18886,"Chahal, Sundeep S",72399,North Pacific,2365,Capital Valley,Greg Ruffoni,Lauren D Tenconi,Store Mgr Unassigned,F,1611 MONUMENT BLVD,Concord,CA,94520,US,O,11/01/1977,,Monument at Lacey,(925)689-3552,BAY,Bay Area,MP,807,San Francisco Ca,MP,Y,N,N,,N,7-Eleven Store,Suburban Commuter,WEST,"Tenconi, Lauren"
,,,,18838,"Chaikaew, Anusak ",72199,Greater La,2174,Orange Coast,Jeff Strader,Ben Atkinson,*,F,1108 W. IMPERIAL HWY,Brea,CA,92821,US,O,05/31/1977,,Imperial Hwy at Puente,(714)990-0534,LAX,Los Angeles,SZ,803,Los Angeles,SZ,Y,N,N,,N,7-Eleven Store,Suburban Commuter,WEST,"Atkinson, Ben"
,,,,23682,"Chaker, Mouhanad ",71199,Pennjersey,2405,East Pa,Jeff Mcdermott,Michael E Murphy,*,F,601 FAYETTE STREET,Conshohocken,PA,19428,US,O,06/28/1982,,Nec Fayette St & 6th Ave,(610)828-3523,PJY,Penn/Jersey,PA,504,Philadelphia,PA,N,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Murphy, Michael"
,,,,35784,"Chalasani, Venkateswa ",71999,Heartland,1951,St Louis,Paul Coffman,Jeanne R Trekell,Rao Chalasani,F,202 N PARKER,Olathe,KS,66061,US,O,05/14/2012,,Samta Fe at Parker(n-Ks-7),(913)393-0314,,,MO,616,Kansas City,MO,Y,N,N,,N,7-Eleven Store,Suburban Commuter,WEST,"Trekell, Jeanne"
,,,,17080,"Chana, Jaspreet S",72399,North Pacific,2362,Oregon/E Washington,Mark Buscher,Thomas R Moore,*,F,1512 SUMMITVIEW,Yakima,WA,98902,US,O,09/01/1974,,Summitview at N 16th,(509)452-6473,,,NW,810,Yakima-Tri-Cities,NW,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,WEST,"Moore, Thomas"
,,,,19305,"Chana, Jaspreet S",72399,North Pacific,2362,Oregon/E Washington,Mark Buscher,Thomas R Moore,*,F,120 N FIRST ST,Selah,WA,98942,US,O,06/15/1977,,First St at Freemont Ave,(509)697-6998,,,NW,810,Yakima-Tri-Cities,NW,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Commuter,WEST,"Moore, Thomas"
,,,,39449,"Chanani, Sudha ",72199,Greater La,2176,La South Bay,Jeddy Reed,Joseph Dauz,Store Mgr Unassigned,F,701 W TORRANCE BLVD,Torrance,CA,90502,US,O,12/31/2014,,Torrance at Hamilton,(310)327-0578,LAX,Los Angeles,SZ,803,Los Angeles,SZ,Y,N,N,,Y,Bcp Store,Dense Residential,WEST,"Dauz, Joseph"
,,,,35416,"Chand, Shally ",71699,Lone Star,1601,South East Dallas,John Mcfadden,Jennette Bowers,Store Mgr Unassigned,F,750 N INDUSTRIAL,Dallas,TX,75207,US,O,01/19/2012,,Industrial at Continental,(214)752-4942,NTX,No. Texas,SW,623,Dallas-Ft. Worth,SW,Y,N,Y,Exxon,N,7-Eleven Store,Dense Daytime,WEST,"Bowers, Jennette"
,,,,15767,"Chandana, Satya N",72499,North Atlantic,2464,Southern New England,Andy Brothers,Evan C Medeiros,*,F,92 MARKET ST,Rockland,MA,02370,US,O,08/01/1972,,Market St at Highland St,(781)871-4099,NGD,New England,MY,506,Boston Ma-Nh,MY,N,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Medeiros, Evan"
,,,,27395,"Chandhok, Surinder S",71599,Florida,1552,West Florida,Kyle Darling,Calvin L Goodwin,Surinder Chandhok,F,3398 TAMPA ROAD,Palm Harbor,FL,34684,US,O,05/03/1987,,Sr 584 at Lake St George,(727)787-4627,LAK,Florida,ME,539,Tampa-Fl,ME,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Commuter,EAST,"Goodwin, Calvin"
,,,,39537,"Chandi, Jasbir S",71199,Pennjersey,2412,South Central Nj,Michael Reintjes,Ian Bitran,Store Mgr Unassigned,F,2401 US HWY 9,Old Bridge,NJ,08857,US,O,01/23/2012,,Us Hwy 9 at Phillips Dr,(732)721-2525,PJY,Penn/Jersey,PA,501,New York Ny,PA,N,N,N,,Y,Bcp Store,Suburban Commuter,EAST,"Bitran, Ian"
,,,,39710,"Chandi, Jasbir S",71199,Pennjersey,2412,South Central Nj,Michael Reintjes,Jon Miller,Store Mgr Unassigned,F,44 SOUTH ST,Freehold,NJ,07728,US,O,08/28/2014,,44 South at Throckmorton,(732)303-1213,PJY,Penn/Jersey,PA,501,New York Ny,PA,N,N,N,,Y,Bcp Store,Suburban Commuter,EAST,"Miller, Jon"
,,,,26560,"Chandi, Mandeep ",71699,Lone Star,1614,Dfw South Metroplex,Paula Young,Marsha D Clark,Mandeep Chandi,F,2500 FOREST PARK BLVD,Fort Worth,TX,76110,US,O,01/05/1986,,Park Hill at Forest Park,(817)924-8861,NTX,No. Texas,SW,623,Dallas-Ft. Worth,SW,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Neighborhood,WEST,"Clark, Marsha"
,,,,10429,"Chandi, Manjinder S",71599,Florida,1534,Miami/Dade Mkt,Mike Ketcherside,Claudia M Vallejo,Manjinder Chandi,F,205 E. DANIA BEACH BLVD,Dania,FL,33004,US,O,07/01/1972,,Dania Bch Bvd at Second Av,(954)923-4896,SFL,So. Florida,ME,528,Miami-Ft. Lauderdale,ME,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Vallejo, Claudia"
,,,,10557,"Chandi, Manjinder S",71599,Florida,1534,Miami/Dade Mkt,Mike Ketcherside,Robert Padilla,Jeff And Brett Hyman,F,722 N.E. 9TH STREET,Hallandale Beach,FL,33009,US,O,08/01/1964,,7 Ave Atlantic Shore Blvd,(954)454-7529,SFL,So. Florida,ME,528,Miami-Ft. Lauderdale,ME,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Padilla, Robert"
,,,,18248,"Chandi, Manjinder S",71599,Florida,1532,Palm Beach,Todd Krajewski,Matthew S Hufty,Manjinder Chandi,F,820 WEST MCNAB RD,Fort Lauderdale,FL,33309,US,O,05/01/1976,,Powerline & Mcnab,(954)973-6149,SFL,So. Florida,ME,528,Miami-Ft. Lauderdale,ME,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Hufty, Matthew"
,,,,34777,"Chandi, Manjinder S",71599,Florida,1534,Miami/Dade Mkt,Mike Ketcherside,Claudia M Vallejo,Manjinder Chandi,F,2399 S UNIVERSITY DR,Fort Lauderdale,FL,33324,US,O,04/18/2011,,S University at Sw 24th,(954)474-3979,SFL,So. Florida,ME,528,Miami-Ft. Lauderdale,ME,Y,N,Y,Mobil,N,7-Eleven Store,Suburban Commuter,EAST,"Vallejo, Claudia"
,,,,29243,"Chang, Scott K",72399,North Pacific,2366,Golden Gate,Robert Young,Janae Dominguez,Store Mgr Unassigned,F,848 E EVELYN AVE,Sunnyvale,CA,94086,US,O,07/03/1988,,848 E Evelyn,(408)542-9370,BAY,Bay Area,MP,807,San Francisco Ca,MP,Y,N,N,,N,7-Eleven Store,Dense Residential,WEST,"Dominguez, Janae"
,,,,18668,"Chao, Tracy E",72199,Greater La,2176,La South Bay,Jeddy Reed,Juan Ocampo,*,F,1700 W 25TH ST,San Pedro,CA,90732,US,O,11/05/1976,,1700 W 25th St,(310)548-5086,LAX,Los Angeles,SZ,803,Los Angeles,SZ,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,WEST,"Ocampo, Juan"
,,,,10437,"Chaparro, Ricardo ",71599,Florida,1532,Palm Beach,Todd Krajewski,Anthony Frankino,Ricardo Chaparro,F,5890 N. ANDREWS AVE,Fort Lauderdale,FL,33309,US,O,01/01/1965,,Andrews Av at 59th St,(954)771-8803,SFL,So. Florida,ME,528,Miami-Ft. Lauderdale,ME,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Frankino, Anthony"
,,,,32276,"Chappell, Rachel L",71999,Heartland,1937,Colorado,Donald Buck,Eugene F Mckenna,"Rachel Chappell, Fz",F,6600 S. COLLEGE AVENUE,Fort Collins,CO,80525,US,O,03/13/1998,,Sh 287 at Trilby,(970)206-1704,COL,Colorado,MW,751,Denver-Ft. Collins,MW,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Commuter,WEST,"Mckenna, Eugene"
,,,,36901,"Chappell, Ryan ",71099,Appalachian,1961,Northwest Detroit,Scott Boldman,Lori R Green,Store Mgr Unassigned,F,302 W BROOMFIELD ST,Mount Pleasant,MI,48858,US,O,08/20/2013,,Broomfield Nr W Campus Dr,(989)772-4166,DTR,Detroit,MI,513,Flint-Saginaw Mi,MI,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Green, Lori"
,,,,25603,"Charania, Akbar ",71599,Florida,1534,Miami/Dade Mkt,Mike Ketcherside,Alex Casillas,Akbar Charania,F,4800 S. STATE RD 7,Fort Lauderdale,FL,33314,US,O,06/05/1985,,S State Rd 7 at Griffin,(954)791-3718,SFL,So. Florida,ME,528,Miami-Ft. Lauderdale,ME,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Commuter,EAST,"Casillas, Alex"
,,,,25359,"Charania, Aziz ",71599,Florida,1534,Miami/Dade Mkt,Mike Ketcherside,Julie A Rady,Aziz Charania,F,460 W BROWARD BLVD,Fort Lauderdale,FL,33312,US,O,04/12/1984,,W Broward Blvd at Sw 5th,(954)467-3856,SFL,So. Florida,ME,528,Miami-Ft. Lauderdale,ME,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Commuter,EAST,"Rady, Julie"
,,,,34886,"Charavay, Florence ",71599,Florida,1506,North Orlando,Heather Ward,Kimberly B Morano,"Cql Team, Inc.",F,3589 AVALON PARK EAST,Orlando,FL,32828,US,O,04/04/2011,,Avalon Park at Tanja King,(407)282-2056,LAK,Florida,ME,534,Orlando-Daytona,ME,Y,N,Y,Mobil,N,7-Eleven Store,Suburban Neighborhood,EAST,"Morano, Kimberly"
,,,,23698,"Chareonvaravut, Virat ",72599,Liberty,2544,Baltimore City,Mike Kropkowski,Darryle A Edwards,Virat Chareonvaravut,F,6401 REISTERSTOWN RD,Baltimore,MD,21215,US,O,01/20/1983,,Reisterstown Rd at Fords,(410)764-6026,NMD,No. Maryland,MZ,512,Baltimore Md,MZ,N,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Edwards, Darryle"
,,,,32699,"Chatham, James-davi A",71099,Appalachian,1971,Southwest Detroit,David Heagle,Kevin J Kosmyna,Jim Chatham/fz,F,9479 NEWBURGH,Livonia,MI,48150,US,O,12/28/1998,,Ann Arbor Trail,(734)542-0488,DTR,Detroit,MI,505,Detroit,MI,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Kosmyna, Kevin"
,,,,32128,"Chatrasala, Amarnath R",72499,North Atlantic,2421,New York Queens,Mandi Licul,Dioris A Rosario,Store Mgr Unassigned,F,112-11 LIBERTY AVE,Richmond Hill,NY,11419,US,O,03/07/1996,,112-11 Liberty Ave,(718)843-1612,LIQ,Long Island,NE,501,New York Ny,NE,Y,N,N,,N,7-Eleven Store,Dense Residential,EAST,"Rosario, Dioris"
,,,,10318,"Chatta, Inderjit S",71599,Florida,1554,Ft Myers,Alex Kelly Iii,Suzette R Hoy,Inderjit Chatta,F,860 7TH AVE NORTH,Naples,FL,34102,US,O,12/01/1965,,7 Av at Tamiami Trail,(239)263-1052,SFL,So. Florida,ME,571,Ft. Myers-Naples Fl,ME,Y,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Hoy, Suzette"
,,,,20991,"Chatta, Inderjit S",71599,Florida,1554,Ft Myers,Alex Kelly Iii,Suzette R Hoy,Inderjit Chatta,F,1480 NORTH AIRPORT ROAD,Naples,FL,34104,US,O,10/01/1979,,Airport Rd at Longboat,(239)643-0471,SFL,So. Florida,ME,571,Ft. Myers-Naples Fl,ME,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Commuter,EAST,"Hoy, Suzette"
,,,,11217,"Chaudary, Azhar B",72499,North Atlantic,2423,New York Suffolk,Rochelle Oppedisano-ganss,Ed J O'neill,*,F,148 PINE AIRE DR,North Bay Shore,NY,11706,US,O,12/15/1968,,Pine Aire Dr at Manatuck,(631)273-1775,LIQ,Long Island,NE,501,New York Ny,NE,Y,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"O'neill, Ed"
,,,,32873,"Chaudary, Azhar B",72499,North Atlantic,2423,New York Suffolk,Rochelle Oppedisano-ganss,Ed J O'neill,Store Mgr Unassigned,F,125 CROOKED HILL RD,Brentwood,NY,11717,US,O,12/12/2002,,Nwc Crooked Hill at Wicks,(631)436-7326,LIQ,Long Island,NE,501,New York Ny,NE,Y,N,Y,7-Eleven,N,7-Eleven Store,Suburban Commuter,EAST,"O'neill, Ed"
,,,,11037,"Chaudhari, Arvind L",71199,Pennjersey,2412,South Central Nj,Michael Reintjes,Charles W Cannella,*,F,326 MORRISTOWN ROAD,Matawan,NJ,07747,US,O,07/01/1965,,Morristown Rd Nr Clifford,(732)566-9739,PJY,Penn/Jersey,PA,501,New York Ny,PA,N,N,N,,N,7-Eleven Store,Suburban Neighborhood,EAST,"Cannella, Charles"
,,,,11047,"Chaudhari, Arvind L",71199,Pennjersey,2412,South Central Nj,Michael Reintjes,Charles W Cannella,*,F,71 ROUTE 34,South Amboy,NJ,08879,US,O,04/01/1966,,Rt 34 North Of Anchor Rd,(732)727-8710,PJY,Penn/Jersey,PA,501,New York Ny,PA,N,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Cannella, Charles"
,,,,23887,"Chaudhari, Arvind L",71199,Pennjersey,2412,South Central Nj,Michael Reintjes,Charles W Cannella,*,F,7 MAPLE AVENUE,Red Bank,NJ,07701,US,O,01/11/1983,,Sec W Front St at Maple,(732)747-3456,PJY,Penn/Jersey,PA,501,New York Ny,PA,N,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Cannella, Charles"
,,,,33633,"Chaudhari, Arvind L",72499,North Atlantic,2424,New York Manhattan,Paula Bamford,Abdel Aziz Mrhar,Store Mgr Unassigned,F,345 W 42ND ST,New York,NY,10036,US,O,12/12/2005,,Nc 42nd at 8th,(212)247-7144,LIQ,Long Island,NE,501,New York Ny,NE,Y,N,N,,N,7-Eleven Store,Dense Daytime,EAST,"Mrhar, Abdel"
,,,,34375,"Chaudhari, Arvind L",71199,Pennjersey,2412,South Central Nj,Michael Reintjes,Charles W Cannella,Store Mgr Unassigned,F,889 ROUTE 35,Middletown,NJ,07748,US,O,09/28/2010,,Route 35 at Tindall Rd,(732)706-6388,PJY,Penn/Jersey,PA,501,New York Ny,PA,N,N,N,,N,7-Eleven Store,Suburban Commuter,EAST,"Cannella, Charles"
,,,,35472,"Chaudhari, Deep ",72499,North Atlantic,2424,New York Manhattan,Paula Bamford,Madison Edwards,Store Mgr Unassigned,F,110 LAFAYETTE ST,New York,NY,10013,US,O,02/28/2012,,Lafayette Nr Canal St,(212)226-3718,LIQ,Long Island,NE,501,New York Ny,NE,Y,N,N,,N,7-Eleven Store,Dense Daytime,EAST,"Edwards, Madison"
,,,,35710,"Chaudhari, Deep ",72499,North Atlantic,2424,New York Manhattan,Paula Bamford,Jennifer K Decoursey,Store Mgr Unassigned,F,311 BROADWAY,New York,NY,10007,US,O,07/24/2012,,Broadway Nr Thomas,(646)649-4153,LIQ,Long Island,NE,501,New York Ny,NE,Y,Y,N,,N,7-Eleven Store,Dense Daytime,EAST,"Decoursey, Jennifer"
